 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO56354,LUMINET,ENERO,23/1/2026,26/1/2026,SI,KEVIN TORRES,OSCAR RIVERA,,PODER JUDICIAL DEL ESTADO DE COAHUILA DE ZARAGOZA,"Luminet, SIEV-200-1, PODER JUDICIAL DEL ESTADO DE COAHUILA DE ZARAGOZA, Ciudad Judicial",,"51,490",,"51,490",SÍ,NO,NO,DEDICADO,EVENTUAL,200,ON,Saltillo Oriente,,GOBIERNO,OTRO,EVENTUAL,NO,0.00,NO,2607835,,PAGADA,23/2/2026,
SO56398,HUUS,ENERO,23/1/2026,24/3/2026,SI,NANCY FUENTES,RAFAEL PÉREZ,,DPS GESTION DOCUMENTAL,"HUUS, SST-R, DPS GESTION DOCUMENTAL, SITIO:  Toluca 2000",,,0,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,LICENCIA,,OFF,AIISA,,EMPRESARIAL,VENTA DIRECTA,VENTA DE EQUIPO,NO,0.00,S/D,,,,,
SO55468,LUMINET,ENERO,23/1/2026,27/1/2026,SI,CECILIA NUÑEZ,CARLOS ALONSO,,INSTITUTO DE VALLE ARIZPE,"Luminet, SIDP-20, INSTITUTO DE VALLE ARIZPE, ZONA CENTRO..",,"-7,600",,"-7,600",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Jolla,,EMPRESARIAL,EAC,RENOVACIÓN,NO,0.00,SÍ,2607576,,PAGADA,23/2/2026,
SO56314,HUUS,ENERO,21/1/2026,31/1/2026,SI,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,GRUPO COMERCIAL DE MEXICO,"HUUS, SIS-50-10-ilimitado, GRUPO COMERCIAL DE MEXICO, SITIO: CULIACÁN","[SO56314] HUUS, SIS-50-10-ilimitado, GRUPO COMERCIAL DE MEXICO","5,600",,"5,600",SÍ,NO,SÍ,SATELITAL,SATELITAL,50,OFF,Starlink,12,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"67,200.00",SÍ,2617158,,PAGADA,23/2/2026,
SO56462,XCIEN,ENERO,24/1/2026,4/2/2026,SI,NANCY FUENTES,JONATHAN TORRES,,SEMINARIO DE MONTERREY NUEVO LEON,"Sandur, AD-SL, SEMINARIO DE MONTERREY NUEVO LEON, SITIO:ALLEND",,0,,0,SÍ,NO,NO,SATELITAL,ALTA DISPONIBILIDAD,,OFF,Starlink,,EMPRESARIAL,EAC,CORTESÍA,NO,0.00,S/D,2679966,,PAGADA,11/3/2026,
SO56460,XCIEN,ENERO,24/1/2026,3/2/2026,SI,NANCY FUENTES,JONATHAN TORRES,,VILLARREAL DIVISION EQUIPOS,"Sandur, AD-SL, VILLARREAL DIVISION EQUIPOS, SITIO VDE",,0,,0,SÍ,NO,NO,SATELITAL,ALTA DISPONIBILIDAD,,OFF,Starlink,,EMPRESARIAL,EAC,CORTESÍA,NO,0.00,S/D,2679965,,PAGADA,11/3/2026,
SO56459,XCIEN,ENERO,24/1/2026,3/2/2026,SI,NANCY FUENTES,JONATHAN TORRES,,VILLARREAL DIVISION EQUIPOS,"Sandur, AD-SL, VILLARREAL DIVISION EQUIPOS, SITIO VDE",,0,,0,SÍ,NO,NO,SATELITAL,ALTA DISPONIBILIDAD,,OFF,Starlink,,EMPRESARIAL,EAC,CORTESÍA,NO,0.00,S/D,2679964,,PAGADA,11/3/2026,
SO56464,XCIEN,ENERO,24/1/2026,,CANCELADA,NANCY FUENTES,JONATHAN TORRES,,ACCESORIOS ALLENDE,"Sandur, AD-SL, ACCESORIOS ALLENDE, SITIO ACCESORIOS ALLENDE",,0,,0,SÍ,NO,NO,SATELITAL,ALTA DISPONIBILIDAD,,OFF,Starlink,,EMPRESARIAL,EAC,CORTESÍA,CANCELADA,0.00,S/D,,,,,
SO56463,XCIEN,ENERO,24/1/2026,,,NANCY FUENTES,IRIS RAMÍREZ,,FLETES 3H,"Sandur, AD-SL, FLETES 3H, SITIO FLETES 3H ALLENDE NUEVO LEON",,0,,0,SÍ,NO,NO,SATELITAL,ALTA DISPONIBILIDAD,,OFF,Starlink,,EMPRESARIAL,EAC,CORTESÍA,NO,0.00,S/D,,,,,
SO56419,XCIEN,ENERO,24/1/2026,27/1/2026,SI,CECILIA NUÑEZ,JONATHAN TORRES,,INMOBILIARIA RIO RICO,"Sandur, SIDP-40, INMOBILIARIA RIO RICO, SITIO VILLA MAGNA",,"3,800",,"3,800",SÍ,NO,NO,DEDICADO,DEDICADO,40,ON,Mecasa Ramos,36,EMPRESARIAL,EAC,RENOVACIÓN,NO,"136,800.00",SÍ,2678198,,PAGADA,9/2/2026,
SO56463,XCIEN,ENERO,22/1/2026,,CANCELADA,KEVIN TORRES,DAVID REYES,CARLOS ALONSO,EXPEREO DE MEXICO,"Sandur, SIDP-500, EXPEREO DE MEXICO, Atlas Copco (Belgium) - El Pueblito - 2|","[Offnet:SO56285] Sandur, SIDP-500, EXPEREO DE MEXICO","21,000",,"21,000",SÍ,NO,SÍ,DEDICADO,DEDICADO,500,OFF,IENTC,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,CANCELADA,"756,000.00",SÍ,,,,,
SO56392,LUMINET,ENERO,26/1/2026,4/2/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF,"Luminet, SST-S, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF, Atencion Ciudadana",,0,,0,SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,2607833,,PAGADA,9/2/2026,
SO55619,LUMINET,ENERO,26/1/2026,11/2/2026,SI,KEVIN TORRES,OSCAR RIVERA,,FISCALIA GENERAL DEL ESTADO DE COAHUILA DE ZARAGOZA,"30 radios, [SIN PRODUCTO], FISCALIA GENERAL DEL ESTADO DE COAHUILA DE ZARAGOZA, CENTRO METROPOILITANO",,,"167,791","167,791",SÍ,NO,NO,,,,N/A,,12,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,2607573,,PAGADA,30/1/2026,
SO56402,LUMINET,ENERO,23/1/2026,30/1/2026,SI,CECILIA NUÑEZ,FELIPE CAZARES,CARLOS ALONSO,GLOBOS Y FIGURAS,"Sandur, SIMP-15, GLOBOS Y FIGURAS, SITIO MELCHOR OCAMPO","[SO56402] Sandur, SIMP-15, GLOBOS Y FIGURAS","1,279",,"1,279",SÍ,NO,SÍ,PYME,PYME,15,ON,Purisima,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"46,044.00",SÍ,2678350,,PENDIENTE PAGO,,
SO56444,HUUS,ENERO,26/1/2026,30/1/2026,SI,NANCY FUENTES,RAFAEL PÉREZ,FRANCISCO VILLATORO,GRUPO IYOLIC,"HUUS, SIDP-20, GRUPO IYOLIC, SITIO: TEPOTZOTLAN BODEGA 2","[SO56444] HUUS, SIDP-20, GRUPO IYOLIC","2,100",,"2,100",SÍ,SÍ,SÍ,DEDICADO,DEDICADO,20,ON,Xochimiquia,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"75,600.00",SÍ,2617164,,PAGADA,12/1/2026,
SO56103,HUUS,ENERO,26/1/2026,27/1/2026,SI,NANCY FUENTES,DANIEL GONZÁLEZ,,EXCELENCIA EN INSPECCION RAGA,"HUUS, SID-20, EXCELENCIA EN INSPECCION RAGA, SITIO: CUAUTITLAN",,"-1,699",,"-1,699",SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,San Mateo,,EMPRESARIAL,EAC,DECREMENTO,NO,0.00,S/D,2617772,,PENDIENTE PAGO,,
SO55824,LUMINET,ENERO,27/1/2026,10/2/2026,SI,CECILIA NUÑEZ,ANA GARZA,,AUNDE SALTILLO,"Luminet, SIDP-100, AUNDE SALTILLO, Sitio Microparque Aeropuerto",,"-1,000",,"-1,000",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Loft,12,EMPRESARIAL,EAC,DECREMENTO,NO,"-12,000.00",SÍ,2607840,,PAGADA,18/2/2026,
SO56151,XCIEN,ENERO,27/1/2026,7/2/2026,SI,CECILIA NUÑEZ,PEDRO MARTÍNEZ,LEONARDO RODRÍGUEZ,HARBISONWALKER INTERNATIONAL,"Sandur, SIDP-100, HARBISONWALKER INTERNATIONAL, SITIO HARBISONWALKER INTERNACIONAL","[SO56151] Sandur, SIDP-100, HARBISONWALKER INTERNATIONAL","1,601",,"1,601",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Norte,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"57,636.00",SÍ,2678370,,PAGADA,2/3/2026,
SO56506,LUMINET,ENERO,27/1/2026,11/2/2026,SI,NANCY FUENTES,LEONARDO RODRÍGUEZ,,AGROPECUARIA EL HUIZACHE,"Luminet, CDD, AGROPECUARIA EL HUIZACHE, SITIO:GOLFO AGROPECUARIA EL HUIZACHE",,,"2,999","2,999",SÍ,NO,NO,,,,ON,Industrial Apodaca,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,2607845,,PAGADA,19/2/2026,
SO56458,HUUS,ENERO,26/1/2026,13/2/2026,SI,NANCY FUENTES,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,COMERCIALIZADORA FARMACÉUTICA DE CHIAPAS,"HUUS, SIDP-20, COMERCIALIZADORA FARMACÉUTICA DE CHIAPAS, SITIO: 3594","[SO56458] HUUS, SIDP-20, COMERCIALIZADORA FARMACEUTICA DE CHIAPAS","3,000",,"3,000",SÍ,NO,SÍ,DEDICADO,DEDICADO,20,ON,Acuna Steren,12,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"36,000.00",SÍ,2617739,,PENDIENTE PAGO,,
SO56410,LUMINET,ENERO,28/1/2026,9/2/2026,SI,CECILIA NUÑEZ,OSCAR RIVERA,,GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF,"Luminet, SST-S, GOBIERNO DEL ESTADO DE COAHUILA DE ZARAGOZA SF, Quinta encino Ramos Arizpe",,"3,900",,"3,900",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,2607846,,PAGADA,18/2/2026,
SO56116,XCIEN,ENERO,28/1/2026,4/2/2026,SI,KEVIN TORRES,LEONARDO RODRÍGUEZ,,ALVARO DIAZ GONZALEZ,"Sandur, CV(V)- PBE-5AC-GEN2, ALVARO DIAZ GONZALEZ, SITIO: NOGAL 141",,,"1,500","1,500",SÍ,NO,NO,,,,N/A,,,GOBIERNO,OTRO,VENTA DE EQUIPO,NO,0.00,S/D,267681,,PAGADA,4/2/2026,
SO56537,XCIEN,ENERO,28/1/2026,18/2/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,TRANSPORTES LOGISTICOS ESPECIALIZADOS,"Sandur, SIDP-300, TRANSPORTES LOGISTICOS ESPECIALIZADOS, SITIO:TLE PATIO GUADALUPE // MIGRACION A RB JUAREZ BLANCAS",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,300,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2679990,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
SO55713,XCIEN,ENERO,28/1/2026,5/2/2026,SI,SERGIO ABREGO,IRIS RAMÍREZ,IRIS RAMÍREZ, KARLA ALEJANDRA HERNANDEZ MORENO,"Sandur, SA-WIFI-eero2P, KARLA ALEJANDRA HERNANDEZ MORENO, SITIO: LOUVRE 234","[SO55713] Sandur, SA-WIFI-eero2P, KARLA ALEJANDRA HERNANDEZ MORENO",560,,560,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,WIFI ADMINISTRADO,,N/A,,12,EMPRESARIAL,EAC,UPSALE,SÍ,"6,724.08",SÍ,2678368,,PAGADA,2/3/2026,
SO55641,LUMINET,ENERO,29/1/2026,29/1/2026,SI,CECILIA NUÑEZ,CARLOS ALONSO,,AUTOLINEAS BILCEN,"Luminet, SIDP-50, AUTOLINEAS BILCEN, PIRULES ARTEAGA FASE 1 BLINDAJE",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Saltillo Oriente,24,EMPRESARIAL,EAC,RENOVACIÓN,NO,0.00,SÍ,2607574,,PAGADA,10/2/2026,
SO56512,XCIEN,ENERO,29/1/2026,29/1/2026,SI,CECILIA NUÑEZ,JAIME GARZA,IRIS RAMÍREZ,COMERCIALIZACION Y PREFABRICADOS COMPRE,"Sandur, SIDP-50, COMERCIALIZACION Y PREFABRICADOS COMPRE, SITIO COMPRE REYNOSA","[SO56512] Sandur, SIDP-50, COMERCIALIZACION Y PREFABRICADOS COMPRE","1,600",,"1,600",SÍ,NO,NO,DEDICADO,DEDICADO,50,ON,Mecasa Burgos,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"57,600.00",SÍ,2676823,,PAGADA,29/1/2023,
SO55309,HUUS,ENERO,29/1/2026,26/2/2026,SI,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO, COMERCIALIZADORA GAB,"HUUS, SIDP-30, COMERCIALIZADORA GAB, Sitio: Cuautitlán Izcalli, México","[Offnet:SO55309] HUUS, SIDP-30, COMERCIALIZADORA GAB","5,833",,"5,833",NO,SÍ,SÍ,DEDICADO,DEDICADO,30,OFF,Comunicalo,12,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"69,996.00",SÍ,2617756,,PAGADA,17/3/2026,
SO56588,HUUS,ENERO,29/1/2026,3/2/2026,SI,NANCY FUENTES,FRANCISCO VILLATORO,,LOGIC PALACIOS,"HUUS, SID-5, LOGIC PALACIOS, Sitio: Tultitlan",,,0,0,SÍ,NO,NO,DEDICADO,DEDICADO,5,ON,Xochimiquia,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,PENDIENTE ELABORACIÓN,,
SO56540,XCIEN,ENERO,29/1/2026,16/2/2026,SI,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,, MULTISERVICIO LA ESPERANZA,"Sandur, SID-10, MULTISERVICIO LA ESPERANZA, SITIO: GOODPRICE LA REYNOSA // MIGRACION A RB JUAREZ BLANCAS",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,10,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2679991,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
SO56541,XCIEN,ENERO,30/1/2026,,CANCELADA,CECILIA NUÑEZ,LEONARDO RODRÍGUEZ,,CECILIA FLORES CARRILLO,"Sandur, SIP-15, CECILIA FLORES CARRILLO, SITIO CECILIA FLORES // MIGRACION A RB JUAREZ BLANCAS",,0,,0,SÍ,NO,NO,PYME,PROFESIONAL,15,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,CANCELADA,0.00,S/D,,,,,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos
SO56502,LUMINET,ENERO,30/1/2026,4/2/2026,SI,CECILIA NUÑEZ,FELIPE CAZARES,DANIEL GONZÁLEZ,BACKBONE TECHNOLOGIES,"Sandur, SIDP-100, BACKBONE TECHNOLOGIES, SITIO  DUDEK ISIDRO LOPEZ ZERTUCHE","[SO56502] Sandur, SIDP-100, BACKBONE TECHNOLOGIES","1,000",,"1,000",SÍ,NO,NO,DEDICADO,DEDICADO,100,ON,Jolla,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"36,000.00",SÍ,2678388,,PAGADA,17/2/2026,
SO56498,LUMINET,ENERO,30/1/2026,5/2/2026,SI,CECILIA NUÑEZ,ALEJANDRO ESPARZA,,Secundaria #8 Profr Juan Garza Garza,"Luminet, SIMP-10, Secundaria #8 Profr Juan Garza Garza, Sec #8 Laboratorio de computación",,0,,0,NO,SÍ,SÍ,PYME,PYME,10,ON,Pda,,GOBIERNO,OTRO,DEMO,NO,0.00,NO,2607836,,PAGADA,9/2/2026,
SO56179,HUUS,ENERO,30/1/2026,10/3/2026,SI,NANCY FUENTES,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,DEREMATE.COM DE MEXICO,"HUUS, SIDP-100, DEREMATE.COM DE MEXICO, SITIO: CROSS D QUERETARO","[SO56179] HUUS, SIDP-100, DEREMATE.COM DE MEXICO","12,500",,"12,500",SÍ,SÍ,SÍ,DEDICADO,DEDICADO,100,ON,Colorado,36,EMPRESARIAL,DISTRIBUIDOR,UPSALE,SÍ,"450,000.00",SÍ,,,PENDIENTE ELABORACIÓN,,
SO56483,HUUS,ENERO,30/1/2026,9/2/2026,SI,NANCY FUENTES,ROBERTO GALINDO,FRANCISCO VILLATORO,JUAN CARLOS LOPEZ PATRICIO,"HUUS, SIDP-100, JUAN CARLOS LOPEZ PATRICIO, Torre","[SO56483] HUUS, SIDP-100, JUAN CARLOS LOPEZ PATRICIO","3,000",,"3,000",SÍ,SÍ,NO,DEDICADO,DEDICADO,100,ON,Coyotepec,36,EMPRESARIAL,VENTA DIRECTA,UPGRADE,SÍ,"108,000.00",SÍ,2617767,,PAGADA,12/3/2026,
SO55949,HUUS,ENERO,30/1/2026,10/2/2026,SI,EDWIN GARZA,RAFAEL PÉREZ,FRANCISCO VILLATORO,MONICA ELENA ARCE DIAZ,"HUUS, SIDP-30, MONICA ELENA ARCE DIAZ, SITIO: OJO DE AGUA","[SO55949] HUUS, SIDP-30, MONICA ELENA ARCE DIAZ","3,200",,"3,200",NO,SÍ,SÍ,DEDICADO,DEDICADO,30,ON,Xochimiquia,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"115,200.00",SÍ,2617172,,PAGADA,3/3/2026,
SO54559,HUUS,ENERO,30/1/2026,10/4/2026,SI,NANCY FUENTES,RAFAEL PÉREZ,FRANCISCO VILLATORO,SITIO DE TAXIS AMPLIACION LOS REMEDIOS,"HUUS, SIDP-20, NIFEED SYSTEMS, SITIO: NAUCALPAN","[SO54559] HUUS, SIDP-20, SITIO DE TAXIS AMPLIACION LOS REMEDIOS","1,900",,"1,900",NO,SÍ,SÍ,DEDICADO,DEDICADO,20,ON,Naucalpan,36,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"68,400.00",SÍ,,,,,
SO55062,HUUS,ENERO,30/1/2026,5/5/2026,SI,NANCY FUENTES,GERARDO DE LA PUENTE,FRANCISCO VILLATORO,DEREMATE.COM DE MEXICO,"HUUS, SRPVD-2, DEREMATE.COM DE MEXICO, Sitio: Hidalgo FO MX13","[Offnet:SO55062] HUUS, SRPVD-2, DEREMATE.COM DE MEXICO","19,361",,"19,361",SÍ,SÍ,NO,DEDICADO,DEDICADO,2000,OFF,IENTC,12,EMPRESARIAL,DISTRIBUIDOR,UPGRADE,SÍ,"232,332.00",SÍ,,,,,
SO56582,XCIEN,ENERO,30/1/2026,16/2/2026,SI,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,ABASTECEDORA DE CARNES SAN GABRIEL,"MIGRACION RB JUAREZ BLANCAS Sandur, SID-10, ABASTECEDORA DE CARNES SAN GABRIEL, SITIO SUCURSAL REYNOSA - GUADALUPE, NL",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,10,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2679992,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
SO56580,XCIEN,ENERO,30/1/2026,6/2/2026,SI,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,VERITIV DE MEXICO,"MIGRACION RB JUAREZ BLANCAS Sandur, SIDP-30, VERITIV DE MEXICO, La Silla Guadalupe",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,30,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2679993,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
SO56579,XCIEN,ENERO,30/1/2026,6/2/2026,SI,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,ANDRES GUADALUPE GUARDADO MALDONADO,"MIGRACION RB JUAREZ BLANCAS Sandur, SIP-20, ANDRES GUADALUPE GUARDADO MALDONADO, SITIO ANDRÉS GUARDADO",,0,,0,SÍ,NO,NO,PYME,PROFESIONAL,20,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2679994,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
SO56578,XCIEN,ENERO,30/1/2026,6/2/2026,SI,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,GUSTAVO CAVAZOS TIJERINA,"MIGRACION RB JUAREZ BLANCAS Sandur, SIRPA-20/10, GUSTAVO CAVAZOS TIJERINA, SITIO GUSTAVO CAVAZOS",,0,,0,SÍ,NO,NO,PYME,PROFESIONAL,20,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2679995,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
SO56594,XCIEN,ENERO,30/1/2026,19/2/2026,SI,SERGIO ABREGO,CLAUDIA NIETO,,JHONY GABRIEL COLLAZO COLLAZO,"Sandur, SIP-30x15, JHONY GABRIEL COLLAZO COLLAZO, SITIO PABLILLO",,0,,0,NO,SÍ,SÍ,PYME,PYME,30,ON,Pda,,,OTRO,CORTESÍA,NO,0.00,S/D,2678404,,PAGADA,20/2/2026,
SO53690,HUUS,ENERO,30/1/2026,27/2/2026,SI,NANCY FUENTES,ADRIANA CABALLERO,FRANCISCO VILLATORO,MÉXICO SONAVOX ELECTRONICS CO,"HUUS, SIDP-50, MÉXICO SONAVOX ELECTRONICS, SiTIO: HUAMANTLA, TLAX","[Offnet:SO53690] HUUS, SIDP-50, MÉXICO SONAVOX ELECTRONICS CO","7,391",,"7,391",NO,SÍ,SÍ,DEDICADO,DEDICADO,50,OFF,Comunicalo,12,EMPRESARIAL,VENTA DIRECTA,PRIMERA VENTA,SÍ,"88,692.00",SÍ,2617752,,PAGADA,26/3/2026,
SO56450,HUUS,ENERO,30/1/2026,24/2/2026,SI,CECILIA NUÑEZ,CARLOS ALONSO,FRANCISCO VILLATORO,FERRESANPA,"HUUS, SIDP-30, FERRESANPA, Sitio: Iztacalco","[Offnet:SO56450] HUUS, SIDP-30, FERRESANPA",431,,431,SÍ,NO,NO,DEDICADO,DEDICADO,30,OFF,Comunicalo,18,EMPRESARIAL,EAC,UPGRADE,SÍ,"7,758.00",SÍ,2617737,,PAGADA,5/4/2026,
SO56520,HUUS,ENERO,31/1/2026,6/2/2026,SI,CECILIA NUÑEZ,FRANCISCO VILLATORO,,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS,"HUUS, SID-10, COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, JARDINES DEL CAMPESTRE / ID 3511",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,10,OFF,Nidix,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,PENDIENTE ELABORACIÓN,,Se cambia de proveedor T1 a Nidix por fallas con el proveedor
SO56521,HUUS,ENERO,31/1/2026,6/2/2026,SI,CECILIA NUÑEZ,FRANCISCO VILLATORO,,COMERCIALIZADORA FARMACEUTICA DE CHIAPAS,"HUUS, SID-5, COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, Paseo de la Victoria 3156",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,5,OFF,Nidix,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,,,PENDIENTE ELABORACIÓN,,Se cambia de proveedor T1 a Nidix por fallas con el proveedor
SO56543,XCIEN,FEBRERO,3/2/2026,3/2/2026,SI,CECILIA NUÑEZ,DANIEL GONZÁLEZ,,INTERMEX MANUFACTURA DE CHIHUAHUA,"Sandur, CDD, INTERMEX MANUFACTURA DE CHIHUAHUA, SITIO  NIFCO KOREA",,,"1,990","1,990",SÍ,NO,NO,,,,ON,Mirasur,,EMPRESARIAL,EAC,CAMBIO DE DOMICILIO,NO,0.00,NO,2679981,,PENDIENTE PAGO,,
SO56576,XCIEN,FEBRERO,3/2/2026,6/2/2026,SI,CECILIA NUÑEZ,CARLOS ALONSO,,ABASTECEDORA DE COMBUSTIBLES SALTILLO,"Migración RB Juárez Blancas Sandur, SID-20, ABASTECEDORA DE COMBUSTIBLES SALTILLO, SITIO: VALLE SOLEADO",,0,,0,SÍ,NO,NO,DEDICADO,DEDICADO,20,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2679996,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
SO56010,XCIEN,FEBRERO,4/2/2026,13/2/2026,SI,SERGIO ABREGO,TIRSO ROMERO,CARLOS ALONSO,TRANSPORTES LAR MEX,"Sandur, SIDP-40, TRANSPORTES LAR MEX, SITIO: LARMEX SLP PATIO 2","[SO56010] Sandur, SIDP-40, TRANSPORTES LAR MEX","5,000",,"5,000",SÍ,NO,SÍ,DEDICADO,DEDICADO,40,ON,San Antonio TRM2,36,EMPRESARIAL,VENTA DIRECTA,UPSALE,SÍ,"180,000.00",SÍ,2678386,,PAGADA,20/2/2026,
SO56169,XCIEN,FEBRERO,4/2/2026,12/2/2026,SI,SERGIO ABREGO,LEONARDO RODRÍGUEZ,,EQUIPOS Y MULTISERVICIOS INDUSTRIALES MONTERREY,"Sandur, S-REUB-EQ, EQUIPOS Y MULTISERVICIOS INDUSTRIALES MONTERREY, SITIO: CENTRO LOGISTICO LIBRAMIENTO 2",,,990,990,SÍ,NO,NO,,,,ON,,,EMPRESARIAL,EAC,REUBICACIÓN,NO,0.00,NO,,,CANCELADA,,
SO56586,XCIEN,FEBRERO,4/2/2026,6/2/2026,SI,CECILIA NUÑEZ,IRIS RAMÍREZ,,INTERMETROPOLITANA DE VIVIENDA,"Sandur, SRPV-10, INTERMETROPOLITANA DE VIVIENDA, BO Santa Anita (Tercer Enlace), Migracion  RB Juarez Blancas",,0,,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,RED PRIVADA,10,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2680009,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
SO56577,XCIEN,FEBRERO,4/2/2026,6/2/2026,SI,CECILIA NUÑEZ,IRIS RAMÍREZ,,FOMENTO EMPRESARIAL INMOBILIARIO,"Sandur, SRPV-10, FOMENTO EMPRESARIAL INMOBILIARIO, BO VALMORAL 4 // Migracion de RB Juarez Blancas",,0,,0,SÍ,NO,NO,SERVICIOS ADMINISTRADOS,RED PRIVADA,10,ON,Juárez Blancas,,EMPRESARIAL,EAC,MIGRACIÓN,NO,0.00,S/D,2679997,,PAGADA,19/3/2026,Migración de servicio de RB Silva II a RB Juárez Blancas por temas aministrativos//Se solicita factura
